trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,1,-70.86807239339089,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-14.47598556267613,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,15,7.25238341268942,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-6.163267631331943,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",25,0,-29.735230005525104,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,14,-4.9825482230394575,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,0.7522934845568414,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-0.012897551646944283,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-207.04174289494597,"{0: 13, 1: 5, 2: 2, 3: 1, 4: 4}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",35,19,-49.07203704722118,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-39.03989998226006,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,6.441689445199978,"{0: 27, 1: 2, 2: 0, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",25,0,-54.92449081798912,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-185.80718879099607,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,3,-89.64953376112116,"{0: 20, 1: 0, 2: 4, 3: 2, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-74.05127341396987,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,13,-13.018053112849827,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,3,-55.36864139932905,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",25,11,-31.668207478795868,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-47.271680203486625,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,12,1.3662127258121233,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,0,8.15901745696619,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,11,12.114334043462751,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,9,-1.6983878608843501,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,11,-3.404717773854256,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,1,-5.873029952665153,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-99.99224178655734,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-91.22855429294299,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",20,0,6.545198218273608,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,6,2.445720458226182,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-90.46669236175207,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,7,-61.68651397928526,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,35.47879043444289,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,9,-61.81913768411243,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,0,-0.13993258399628594,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-132.6603554909686,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,13,-10.401464350566432,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,20,8.021170450092553,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",30,15,-19.556978119804214,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,7,-81.71355951896321,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 2}",1
