trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
61,False,"{'a': 0.5, 'e': 0.8779999999999999}",20,0,-92.81789807804243,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.8759999999999999}",30,0,-210.60095529731646,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
63,False,"{'a': 0.5, 'e': 0.8739999999999999}",30,0,-143.30520439301833,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.8719999999999999}",20,0,-83.57833028029818,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-117.31531635138367,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.8679999999999999}",25,0,-122.6789753129134,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.8659999999999999}",35,9,-182.05636076585782,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 4}",1
68,False,"{'a': 0.5, 'e': 0.8639999999999999}",25,0,-107.48935909913774,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-67.59899051531706,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-136.0895852700014,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.8579999999999999}",20,0,-123.90950890936242,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.8559999999999999}",25,0,2.674626134083084,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.8539999999999999}",20,0,-78.5262201194657,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.8519999999999999}",25,0,-91.18206586513641,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-78.63723213261133,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.8479999999999999}",25,0,-157.53389250971168,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.8459999999999999}",30,0,-98.94456059830708,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.8439999999999999}",20,0,-37.06053257859361,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.8419999999999999}",20,0,-141.1943009662122,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
80,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-159.60687895206232,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
81,False,"{'a': 0.5, 'e': 0.8379999999999999}",30,0,-137.6916487837327,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
82,False,"{'a': 0.5, 'e': 0.8359999999999999}",25,0,-40.005971498510654,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.8339999999999999}",30,15,-104.22118761001725,"{0: 7, 1: 1, 2: 5, 3: 1, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.8319999999999999}",20,0,-190.4123365928971,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-122.33441177622943,"{0: 20, 1: 4, 2: 2, 3: 3, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.8279999999999998}",30,0,-59.80490820608667,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.8259999999999998}",20,0,-151.03234398589717,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.8239999999999998}",20,0,-36.97293323336777,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8219999999999998}",30,0,-140.3240642744644,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.8199999999999998}",30,0,-144.03400628446502,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.8179999999999998}",25,0,-145.47168589788572,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.8159999999999998}",25,0,-102.6217654393527,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.8139999999999998}",25,0,-142.20495160559173,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8119999999999998}",20,0,-28.302397897560688,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-143.1602204743444,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.8079999999999998}",20,0,-96.13836141109343,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.8059999999999998}",25,0,-55.03068220941719,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.8039999999999998}",30,0,-75.95912849809532,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.8019999999999998}",25,0,-109.4733304544849,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-130.17112469250398,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.7979999999999998}",30,0,-1.3058658806732981,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
